from,to,count
天津,北京,15252
河北,北京,214047
山西,北京,26717
内蒙古,北京,16629
辽宁,北京,19708
吉林,北京,14651
黑龙江,北京,24147
上海,北京,6930
江苏,北京,32854
浙江,北京,23461
安徽,北京,32192
福建,北京,8055
江西,北京,6684
山东,北京,44537
河南,北京,51515
湖北,北京,19963
湖南,北京,11375
广东,北京,7349
广西,北京,5238
海南,北京,870
四川,北京,45293
贵州,北京,4047
云南,北京,3473
西藏,北京,991
陕西,北京,16840
甘肃,北京,7192
青海,北京,2735
宁夏,北京,2292
新疆,北京,7625
北京,天津,6048
河北,天津,95469
山西,天津,9397
内蒙古,天津,10010
辽宁,天津,7743
吉林,天津,4558
黑龙江,天津,14053
上海,天津,1455
江苏,天津,5097
浙江,天津,5345
安徽,天津,5685
福建,天津,1879
江西,天津,1384
山东,天津,22195
河南,天津,10228
湖北,天津,5259
湖南,天津,3278
广东,天津,1948
广西,天津,3042
海南,天津,404
四川,天津,9358
贵州,天津,1688
云南,天津,911
西藏,天津,542
陕西,天津,4776
甘肃,天津,4268
青海,天津,1110
宁夏,天津,1296
新疆,天津,6181
北京,河北,18436
天津,河北,19093
山西,河北,42601
内蒙古,河北,46548
辽宁,河北,23236
吉林,河北,19380
黑龙江,河北,48987
上海,河北,1328
江苏,河北,9540
浙江,河北,14641
安徽,河北,7576
福建,河北,3575
江西,河北,2643
山东,河北,24971
河南,河北,29895
湖北,河北,11104
湖南,河北,9457
广东,河北,3439
广西 ,河北,24072
海南,河北,554
四川,河北,77120
贵州,河北,14258
云南,河北,12448
西藏,河北,1240
陕西,河北,22569
甘肃,河北,13063
青海,河北,5008
宁夏,河北,2050
新疆,河北,11555
北京,山西,6615
天津,山西,2130
河北,山西,55213
内蒙古,山西,39307
辽宁,山西,4897
吉林,山西,3217
黑龙江,山西,3692
上海,山西,628
江苏,山西,8324
浙江,山西,28842
安徽,山西,6343
福建,山西,5487
江西,山西,1294
山东,山西,17165
河南,山西,42515
湖北 ,山西,4168
湖南,山西,4985
广东,山西,996
广西,山西,2775
海南,山西,63
四川,山西,36630
贵州,山西,4176
云南,山西,1983
西藏 ,山西,448
陕西,山西,13889
甘肃,山西,5105
青海,山西,1565
宁夏,山西,649
新疆,山西,3925
北京,内蒙古,2380
天津,内蒙古,1485
河北,内蒙古,37982
山西,内蒙古,14083
辽宁,内蒙古,25219
吉林,内蒙古,23673
黑龙江,内蒙古,57352
上海,内蒙古,389
江苏,内蒙古,4635
浙江,内蒙古,11270
安徽,内蒙古,2728
福建,内蒙古,1003
江西,内蒙古,994
山东,内蒙古,13030
河南,内蒙古,6290
湖北 ,内蒙古,1208
湖南,内蒙古,1193
广东,内蒙古,400
广西,内蒙古,352
海南,内蒙古,31
四川,内蒙古,13585
贵州,内蒙古,497
云南,内蒙古,513
西藏,内蒙古,42
陕西,内蒙古,12039
甘肃,内蒙古,14671
青海,内蒙古,583
宁夏,内蒙古,4637
新疆,内蒙古,2042
北京,辽宁,4339
天津,辽宁,3580
河北,辽宁,30458
山西,辽宁,5574
内蒙古,辽宁,61145
吉林,辽宁,88851
黑龙江,辽宁,150073
上海,辽宁,2182
江苏,辽宁,16165
浙江,辽宁,23744
安徽,辽宁,11177
福建,辽宁,4461
江西,辽宁,3221
山东,辽宁,56515
河南,辽宁,17253
湖北,辽宁,8463
湖南,辽宁,4205
广东,辽宁,3162
广西,辽宁,1620
海南,辽宁,410
四川,辽宁,23703
贵州,辽宁,2298
云南,辽宁,1359
西藏,辽宁,640
陕西,辽宁,6498
甘肃,辽宁,4305
青海,辽宁,1825
宁夏,辽宁,1193
新疆,辽宁,2956
北京,吉林,1879
天津,吉林,1621
河北,吉林,9047
山西,吉林,2411
内蒙古,吉林,19641
辽宁,吉林,45297
黑龙江,吉林,65512
上海,吉林,571
江苏,吉林,5825
浙江,吉林,8112
安徽,吉林,2727
福建,吉林,1675
江西,吉林,1375
山东,吉林,43661
河南,吉林,4995
湖北,吉林,3119
湖南,吉林,1721
广东,吉林,1112
广西,吉林,981
海南,吉林,146
四川,吉林,7321
贵州,吉林,915
云南,吉林,1066
西藏,吉林,61
陕西,吉林,2051
甘肃,吉林,1898
青海,吉林,743
宁夏,吉林,536
新疆,吉林,1274
北京,黑龙江,2644
天津,黑龙江,1376
河北,黑龙江,16684
山西,黑龙江,2398
内蒙古,黑龙江,37922
辽宁,黑龙江,47046
吉林,黑龙江,80257
上海,黑龙江,916
江苏,黑龙江,14291
浙江,黑龙江,15070
安徽,黑龙江,14723
福建,黑龙江,2119
江西,黑龙江,1842
山东,黑龙江,86552
河南,黑龙江,13055
湖北,黑龙江,6614
湖南,黑龙江,2046
广东,黑龙江,859
广西,黑龙江,795
海南,黑龙江,98
四川,黑龙江,13150
贵州,黑龙江,1157
云南,黑龙江,623
西藏,黑龙江,34
陕西,黑龙江,2438
甘肃,黑龙江,1364
青海,黑龙江,381
宁夏,黑龙江,329
新疆,黑龙江,645
北京,上海,5823
天津,上海,2611
河北,上海,6878
山西,上海,4816
内蒙古,上海,2392
辽宁,上海,6015
吉林,上海,3677
黑龙江,上海,10369
江苏,上海,214436
浙江,上海,102203
安徽,上海,115372
福建,上海,10590
江西,上海,23208
山东,上海,17448
河南,上海,11299
湖北,上海,10969
湖南,上海,8488
广东,上海,9439
广西,上海,3018
海南,上海,956
四川,上海,31924
贵州,上海,8071
云南,上海,5125
西藏,上海,770
陕西,上海,8768
甘肃,上海,9016
青海,上海,4242
宁夏,上海,1499
新疆,上海,26104
北京,江苏,9345
天津,江苏,3113
河北,江苏,14307
山西,江苏,9231
内蒙古,江苏,6618
辽宁,江苏,12681
吉林,江苏,10619
黑龙江,江苏,22947
上海,江苏,39600
浙江,江苏,53275
安徽,江苏,150325
福建,江苏,15683
江西,江苏,31831
山东,江苏,48808
河南,江苏,27237
湖北,江苏,27243
湖南,江苏,16965
广东,江苏,8527
广西,江苏,11605
海南,江苏,3960
四川,江苏,95847
贵州,江苏,45499
云南,江苏,35154
西藏,江苏,1555
陕西,江苏,24474
甘肃,江苏,17242
青海,江苏,9726
宁夏,江苏,3862
新疆,江苏,33831
北京,浙江,4207
天津,浙江,1467
河北,浙江,4608
山西,浙江,4399
内蒙古,浙江,2854
辽宁,浙江,4927
吉林,浙江,3119
黑龙江,浙江,9085
上海,浙江,23685
江苏,浙江,37651
安徽,浙江,31572
福建,浙江,24743
江西,浙江,40413
山东,浙江,9684
河南,浙江,8152
湖北,浙江,10147
湖南,浙江,13987
广东,浙江,6169
广西,浙江,11755
海南,浙江,832
四川,浙江,28463
贵州,浙江,18583
云南,浙江,12148
西藏,浙江,575
陕西,浙江,5330
甘肃,浙江,4658
青海,浙江,3678
宁夏,浙江,1824
新疆,浙江,7171
北京,安徽,5046
天津,安徽,1149
河北,安徽,6923
山西,安徽,4848
内蒙古,安徽,2099
辽宁,安徽,4371
吉林,安徽,2957
黑龙江,安徽,8007
上海,安徽,14115
江苏,安徽,61766
浙江,安徽,30485
福建,安徽,6851
江西,安徽,14767
山东,安徽,15053
河南,安徽,26912
湖北,安徽,14053
湖南,安徽,7764
广东,安徽,2474
广西,安徽,2313
海南,安徽,1254
四川,安徽,39767
贵州,安徽,16543
云南,安徽,20569
西藏,安徽,1098
陕西,安徽,11077
甘肃,安徽,4114
青海,安徽,2417
宁夏,安徽,783
新疆,安徽,8188
北京,福建,2368
天津,福建,901
河北,福建,1858
山西,福建,1869
内蒙古,福建,722
辽宁,福建,1733
吉林,福建,1204
黑龙江,福建,1515
上海,福建,4040
江苏,福建,10760
浙江,福建,45854
安徽,福建,5152
江西,福建,41656
山东,福建,5030
河南,福建,2785
湖北,福建,6066
湖南,福建,8520
广东,福建,14008
广西,福建,13856
海南,福建,953
四川,福建,52208
贵州,福建,17696
云南,福建,4480
西藏,福建,82
陕西,福建,2260
甘肃,福建,1002
青海,福建,571
宁夏,福建,227
新疆,福建,1668
北京,江西,1929
天津,江西,418
河北,江西,2602
山西,江西,1785
内蒙古,江西,823
辽宁,江西,2111
吉林,江西,1515
黑龙江,江西,1622
上海,江西,2664
江苏,江西,10919
浙江,江西,41920
安徽,江西,22191
福建,江西,36351
山东,江西,3345
河南,江西,6026
湖北,江西,17170
湖南,江西,27830
广东,江西,12760
广西,江西,5372
海南,江西,766
四川,江西,11151
贵州,江西,4346
云南,江西,2427
西藏,江西,453
陕西,江西,2390
甘肃,江西,1753
青海,江西,511
宁夏,江西,218
新疆,江西,1497
北京,山东,10359
天津,山东,3371
河北,山东,35118
山西,山东,13866
内蒙古,山东,17093
辽宁,山东,25062
吉林,山东,60559
黑龙江,山东,130712
上海,山东,4170
江苏,山东,33393
浙江,山东,23768
安徽,山东,13590
福建,山东,11841
江西,山东,7312
河南,山东,27584
湖北,山东,9957
湖南,山东,5454
广东,山东,5208
广西,山东,6977
海南,山东,1199
四川,山东,45382
贵州,山东,17273
云南,山东,27510
西藏,山东,1986
陕西,山东,21729
甘肃,山东,14994
青海,山东,10720
宁夏,山东,2487
新疆,山东,20758
北京,河南,8466
天津,河南,2100
河北,河南,26327
山西,河南,22660
内蒙古,河南,6144
辽宁,河南,14315
吉林,河南,7821
黑龙江,河南,18132
上海,河南,1995
江苏,河南,20119
浙江,河南,21581
安徽,河南,32016
福建,河南,5052
江西,河南,4360
山东,河南,35013
湖北,河南,40486
湖南,河南,9297
广东,河南,11560
广西,河南,4452
海南,河南,2006
四川,河南,50295
贵州,河南,12161
云南,河南,13737
西藏,河南,2966
陕西,河南,40416
甘肃,河南,19517
青海,河南,9345
宁夏,河南,4388
新疆,河南,31106
北京,湖北,5095
天津,湖北,1734
河北,湖北,10931
山西,湖北,4466
内蒙古,湖北,2938
辽宁,湖北,6214
吉林,湖北,4081
黑龙江,湖北,5543
上海,湖北,3087
江苏,湖北,22240
浙江,湖北,23762
安徽,湖北,17254
福建,湖北,9278
江西,湖北,14156
山东,湖北,13326
河南,湖北,79423
湖南,湖北,42533
广东,湖北,12300
广西,湖北,7492
海南,湖北,1678
四川,湖北,94729
贵州,湖北,5726
云南,湖北,4534
西藏,湖北,1207
陕西,湖北,19296
甘肃,湖北,4182
青海,湖北,2148
宁夏,湖北,790
新疆,湖北,10978
北京,湖南,4020
天津,湖南,1093
河北,湖南,6165
山西,湖南,3720
内蒙古,湖南,2027
辽宁,湖南,4898
吉林,湖南,2444
黑龙江,湖南,4709
上海,湖南,1736
江苏,湖南,5113
浙江,湖南,12314
安徽,湖南,7145
福建,湖南,7395
江西,湖南,17635
山东,湖南,4200
河南,湖南,10772
湖北,湖南,39629
广东,湖南,26995
广西,湖南,20348
海南,湖南,4395
四川,湖南,29626
贵州,湖南,22795
云南,湖南,11839
西藏,湖南,766
陕西,湖南,6537
甘肃,湖南,2878
青海,湖南,1651
宁夏,湖南,543
新疆,湖南,8414
北京,广东,10676
天津,广东,2916
河北,广东,9619
山西,广东,3642
内蒙古,广东,2383
辽宁,广东,8075
吉林,广东,5817
黑龙江,广东,6744
上海,广东,11282
江苏,广东,24172
浙江,广东,37229
安徽,广东,8943
福建,广东,53683
江西,广东,57331
山东,广东,8495
河南,广东,31864
湖北,广东,38753
湖南,广东,228436
广西,广东,401318
海南,广东,76121
四川,广东,153917
贵州,广东,30772
云南,广东,17778
西藏,广东,290
陕西,广东,15063
甘肃,广东,4877
青海,广东,1723
宁夏,广东,803
新疆,广东,4786
北京,广西,1391
天津,广西,464
河北,广西,1992
山西,广西,914
内蒙古,广西,782
辽宁,广西,1372
吉林,广西,875
黑龙江,广西,1686
上海,广西,1027
江苏,广西,2495
浙江,广西,6582
安徽,广西,1777
福建,广西,3480
江西,广西,3852
山东,广西,2149
河南,广西,2924
湖北,广西,5560
湖南,广西,36468
广东,广西,30286
海南,广西,5313
四川,广西,9980
贵州,广西,9951
云南,广西,6575
西藏,广西,69
陕西,广西,1442
甘肃,广西,692
青海,广西,637
宁夏,广西,115
新疆,广西,1655
北京,海南,949
天津,海南,230
河北,海南,676
山西,海南,335
内蒙古,海南,227
辽宁,海南,505
吉林,海南,645
黑龙江,海南,752
上海,海南,595
江苏,海南,2726
浙江,海南,3172
安徽,海南,1809
福建,海南,7404
江西,海南,2011
山东,海南,640
河南,海南,2475
湖北,海南,4499
湖南,海南,10526
广东,海南,61636
广西,海南,30409
四川,海南,14176
贵州,海南,1197
云南,海南,747
西藏,海南,42
陕西,海南,878
甘肃,海南,324
青海,海南,136
宁夏,海南,60
新疆,海南,320
北京,四川,8615
天津,四川,2323
河北,四川,20550
山西,四川,12523
内蒙古,四川,6616
辽宁,四川,13149
吉林,四川,7145
黑龙江,四川,11547
上海,四川,3473
江苏,四川,11810
浙江,四川,12448
安徽,四川,7695
福建,四川,7454
江西,四川,5615
山东,四川,10133
河南,四川,19893
湖北,四川,30357
湖南,四川,14986
广东,四川,12220
广西,四川,9916
海南,四川,2021
贵州,四川,42723
云南,四川,68820
西藏,四川,30746
陕西,四川,27353
甘肃,四川,19808
青海,四川,11882
宁夏,四川,2325
新疆,四川,35730
北京,贵州,853
天津,贵州,176
河北,贵州,1374
山西,贵州,454
内蒙古,贵州,290
辽宁,贵州,843
吉林,贵州,415
黑龙江,贵州,1151
上海,贵州,615
江苏,贵州,3362
浙江,贵州,9217
安徽,贵州,2119
福建,贵州,1589
江西,贵州,1827
山东,贵州,3438
河南,贵州,4336
湖北,贵州,3835
湖南,贵州,19804
广东,贵州,4075
广西,贵州,8299
海南,贵州,204
四川,贵州,100138
云南,贵州,18673
西藏,贵州,352
陕西,贵州,1646
甘肃,贵州,300
青海,贵州,292
宁夏,贵州,42
新疆,贵州,689
北京,云南,1155
天津,云南,323
河北,云南,2213
山西,云南,1033
内蒙古,云南,356
辽宁,云南,1078
吉林,云南,926
黑龙江,云南,1007
上海,云南,1450
江苏,云南,5645
浙江,云南,17694
安徽,云南,2436
福建,云南,2173
江西,云南,2016
山东,云南,3202
河南,云南,4452
湖北,云南,4160
湖南,云南,21235
广东,云南,6684
广西,云南,8678
海南,云南,1064
四川,云南,127454
贵州,云南,27375
西藏,云南,802
陕西,云南,3084
甘肃,云南,1099
青海,云南,403
宁夏,云南,161
新疆,云南,906
北京,陕西,5544
天津,陕西,1495
河北,陕西,15593
山西,陕西,15486
内蒙古,陕西,6488
辽宁,陕西,5979
吉林,陕西,3084
黑龙江,陕西,3610
上海,陕西,1515
江苏,陕西,14827
浙江,陕西,17176
安徽,陕西,9241
福建,陕西,3364
江西,陕西,3055
山东,陕西,12354
河南,陕西,43696
湖北,陕西,12191
湖南,陕西,5316
广东,陕西,3213
广西,陕西,1767
海南,陕西,288
四川,陕西,41843
贵州,陕西,1853
云南,陕西,3413
西藏,陕西,3898
甘肃,陕西,37122
青海,陕西,10479
宁夏,陕西,7148
新疆,陕西,23550
北京,甘肃,1771
天津,甘肃,721
河北,甘肃,6708
山西,甘肃,4242
内蒙古,甘肃,3165
辽宁,甘肃,3272
吉林,甘肃,1818
黑龙江,甘肃,1720
上海,甘肃,1093
江苏,甘肃,9600
浙江,甘肃,16777
安徽,甘肃,3902
福建,甘肃,1363
江西,甘肃,1536
山东,甘肃,9774
河南,甘肃,22483
湖北,甘肃,2937
湖南,甘肃,2807
广东,甘肃,1332
广西,甘肃,517
海南,甘肃,66
四川,甘肃,20334
云南,甘肃,861
西藏,甘肃,2021
陕西,甘肃,36004
青海,甘肃,13938
宁夏,甘肃,8224
新疆,甘肃,19908
北京,青海,764
天津,青海,222
河北,青海,3743
山西,青海,1423
内蒙古,青海,408
辽宁,青海,1694
吉林,青海,689
黑龙江,青海,390
上海,青海,323
江苏,青海,8039
浙江,青海,8179
安徽,青海,2393
福建,青海,657
江西,青海,384
山东,青海,4452
河南,青海,14068
湖北,青海,902
湖南,青海,1791
广东,青海,272
广西,青海,532
海南,青海,34
四川,青海,19640
贵州,青海,222
云南,青海,203
西藏,青海,732
陕西,青海,14249
甘肃,青海,26039
宁夏,青海,1310
新疆,青海,2065
北京,宁夏,404
天津,宁夏,350
河北,宁夏,3469
山西,宁夏,1364
内蒙古,宁夏,6210
辽宁,宁夏,2368
吉林,宁夏,615
黑龙江,宁夏,1226
上海,宁夏,379
江苏,宁夏,3880
浙江,宁夏,7065
安徽,宁夏,2376
福建,宁夏,361
江西,宁夏,158
山东,宁夏,3624
河南,宁夏,9369
湖北,宁夏,619
湖南,宁夏,818
广东,宁夏,164
广西,宁夏,101
海南,宁夏,1
四川,宁夏,4782
贵州,宁夏,130
云南,宁夏,113
西藏,宁夏,29
陕西,宁夏,18593
甘肃,宁夏,20489
青海,宁夏,970
新疆,宁夏,1885
北京,新疆,1027
天津,新疆,480
河北,新疆,5150
山西,新疆,2215
内蒙古,新疆,1292
辽宁,新疆,1188
吉林,新疆,920
黑龙江,新疆,1195
上海,新疆,1319
江苏,新疆,20794
浙江,新疆,11137
安徽,新疆,12929
福建,新疆,821
江西,新疆,1212
山东,新疆,16048
河南,新疆,58130
湖北,新疆,6843
湖南,新疆,7329
广东,新疆,1907
广西,新疆,1289
海南,新疆,290
四川,新疆,118233
贵州,新疆,532
云南,新疆,350
西藏,新疆,145
陕西,新疆,20660
甘肃,新疆,38743
青海,新疆,2722
宁夏,新疆,6818